DATE,DEXNOUS
10/1/12,5.7275
10/2/12,5.683
10/3/12,5.7558
10/4/12,5.7029
10/5/12,5.6632
10/8/12,5.69935
10/9/12,5.7355
10/10/12,5.7333
10/11/12,5.708
10/12/12,5.713
10/15/12,5.709
10/16/12,5.667
10/17/12,5.6271
10/18/12,5.6164
10/19/12,5.6581
10/22/12,5.6701
10/23/12,5.729
10/24/12,5.7584
10/25/12,5.7672
10/26/12,5.7616
10/29/12,5.7574
10/30/12,5.7206
10/31/12,5.7075
11/1/12,5.6816
11/2/12,5.7207
11/5/12,5.7308
11/6/12,5.7171
11/7/12,5.7375
11/8/12,5.7364
11/9/12,5.7405
11/12/12,5.7521
11/13/12,5.7637
11/14/12,5.7521
11/15/12,5.7542
11/16/12,5.7948
11/19/12,5.7371
11/20/12,5.7325
11/21/12,5.7197
11/22/12,5.69095
11/23/12,5.6622
11/26/12,5.6487
11/27/12,5.6886
11/28/12,5.6831
11/29/12,5.6925
11/30/12,5.6667
12/3/12,5.6368
12/4/12,5.6232
12/5/12,5.6198
12/6/12,5.6468
12/7/12,5.6675
12/10/12,5.6728
12/11/12,5.6524
12/12/12,5.629
12/13/12,5.617
12/14/12,5.623
12/17/12,5.604
12/18/12,5.5936
12/19/12,5.5602
12/20/12,5.5607
12/21/12,5.5709
12/24/12,5.61
12/25/12,5.5992
12/26/12,5.5884
12/27/12,5.5805
12/28/12,5.5885
12/31/12,5.5618
1/1/13,5.552
1/2/13,5.5422
1/3/13,5.5617
1/4/13,5.6114
1/7/13,5.5927
1/8/13,5.6044
1/9/13,5.5879
1/10/13,5.5369
1/11/13,5.526
1/14/13,5.5055
1/15/13,5.5647
1/16/13,5.5661
1/17/13,5.5554
1/18/13,5.6085
1/21/13,5.59215
1/22/13,5.5758
1/23/13,5.5657
1/24/13,5.5339
1/25/13,5.5286
1/28/13,5.5303
1/29/13,5.4999
1/30/13,5.4838
1/31/13,5.468
2/1/13,5.4312
2/4/13,5.472
2/5/13,5.4884
2/6/13,5.4943
2/7/13,5.5244
2/8/13,5.5404
2/11/13,5.5026
2/12/13,5.487
2/13/13,5.4747
2/14/13,5.512
2/15/13,5.5426
2/18/13,5.53915
2/19/13,5.5357
2/20/13,5.567
2/21/13,5.6588
2/22/13,5.6829
2/25/13,5.6747
2/26/13,5.7167
2/27/13,5.7047
2/28/13,5.7209
3/1/13,5.7599
3/4/13,5.7218
3/5/13,5.7125
3/6/13,5.7075
3/7/13,5.673
3/8/13,5.7242
3/11/13,5.7268
3/12/13,5.7136
3/13/13,5.751
3/14/13,5.8019
3/15/13,5.7756
3/18/13,5.7886
3/19/13,5.8319
3/20/13,5.8429
3/21/13,5.8411
3/22/13,5.8073
3/25/13,5.8396
3/26/13,5.8409
3/27/13,5.8549
3/28/13,5.8326
3/29/13,5.8446
4/1/13,5.8143
4/2/13,5.8115
4/3/13,5.8043
4/4/13,5.811
4/5/13,5.7204
4/8/13,5.7435
4/9/13,5.7083
4/10/13,5.7452
4/11/13,5.7029
4/12/13,5.7188
4/15/13,5.7281
4/16/13,5.7377
4/17/13,5.7934
4/18/13,5.8119
4/19/13,5.8161
4/22/13,5.8504
4/23/13,5.9034
4/24/13,5.912
4/25/13,5.8797
4/26/13,5.8506
4/29/13,5.8257
4/30/13,5.7674
5/1/13,5.7601
5/2/13,5.7982
5/3/13,5.7944
5/6/13,5.8294
5/7/13,5.8385
5/8/13,5.7462
5/9/13,5.751
5/10/13,5.818
5/13/13,5.7987
5/14/13,5.8109
5/15/13,5.8567
5/16/13,5.8166
5/17/13,5.8626
5/20/13,5.839
5/21/13,5.7892
5/22/13,5.8128
5/23/13,5.8322
5/24/13,5.8315
5/27/13,5.85445
5/28/13,5.8774
5/29/13,5.8947
5/30/13,5.8245
5/31/13,5.8623
6/3/13,5.799
6/4/13,5.8123
6/5/13,5.8081
6/6/13,5.7547
6/7/13,5.7649
6/10/13,5.761
6/11/13,5.7908
6/12/13,5.7344
6/13/13,5.763
6/14/13,5.7189
6/17/13,5.7308
6/18/13,5.7295
6/19/13,5.7209
6/20/13,6.001
6/21/13,6.0966
6/24/13,6.1593
6/25/13,6.1294
6/26/13,6.0993
6/27/13,6.0544
6/28/13,6.0903
7/1/13,6.0734
7/2/13,6.0854
7/3/13,6.0977
7/4/13,6.18035
7/5/13,6.263
7/8/13,6.1483
7/9/13,6.1887
7/10/13,6.1401
7/11/13,6.0874
7/12/13,6.07
7/15/13,6.0741
7/16/13,5.9965
7/17/13,6.01
7/18/13,6.001
7/19/13,5.9695
7/22/13,5.9329
7/23/13,5.8876
7/24/13,5.9136
7/25/13,5.9311
7/26/13,5.9169
7/29/13,5.9238
7/30/13,5.9268
7/31/13,5.904
8/1/13,5.9465
8/2/13,5.9419
8/5/13,5.9337
8/6/13,5.9244
8/7/13,5.913
8/8/13,5.8994
8/9/13,5.8572
8/12/13,5.8634
8/13/13,5.899
8/14/13,5.8867
8/15/13,5.9412
8/16/13,5.9119
8/19/13,5.9035
8/20/13,5.9404
8/21/13,6.0574
8/22/13,6.1057
8/23/13,6.0202
8/26/13,6.0391
8/27/13,6.0169
8/28/13,6.059
8/29/13,6.1009
8/30/13,6.1281
9/2/13,6.10015
9/3/13,6.0722
9/4/13,6.0583
9/5/13,6.1202
9/6/13,6.083
9/9/13,6.0191
9/10/13,5.9269
9/11/13,5.9153
9/12/13,5.8858
9/13/13,5.9386
9/16/13,5.8983
9/17/13,5.8998
9/18/13,5.9018
9/19/13,5.8216
9/20/13,5.9184
9/23/13,5.9091
9/24/13,5.967
9/25/13,5.9964
9/26/13,5.9842
9/27/13,5.9966
9/30/13,6.0105
10/1/13,5.9839
10/2/13,6.022
10/3/13,5.9476
10/4/13,5.9577
10/7/13,5.968
10/8/13,5.9673
10/9/13,6.0058
10/10/13,6.0345
10/11/13,5.996
10/14/13,6.01365
10/15/13,6.0313
10/16/13,6.0209
10/17/13,5.9319
10/18/13,5.8987
10/21/13,5.915
